Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Keith Van Horn,1999,PF,23,NJN,42,42,37.5,7.7,17.9,0.428,0.4,1.3,0.302,7.3,16.6,0.438,0.439,6.1,7.1,0.859,2.7,5.8,8.5,1.5,1,1.3,3.2,3.2,21.8
David Vaughn,1999,PF,25,NJN,10,0,10.3,1.3,2.4,0.542,0,0,,1.3,2.4,0.542,0.542,0.8,1,0.8,1.3,2.1,3.4,0.1,0.2,0.8,1.1,2.2,3.4
Jacque Vaughn,1999,PG,23,UTA,19,0,4.6,0.6,1.6,0.367,0.1,0.4,0.25,0.5,1.2,0.409,0.4,1.1,1.3,0.833,0.1,0.5,0.6,0.6,0.3,0,0.7,0.7,2.3
Loy Vaught,1999,PF,30,DET,37,10,13,1.6,4.2,0.381,0,0,0,1.6,4.2,0.383,0.381,0.2,0.4,0.643,1,3,3.9,0.3,0.4,0.2,0.5,1.5,3.4
Stojko Vranković,1999,C,35,LAC,2,0,6,0.5,2,0.25,0,0,,0.5,2,0.25,0.25,0,0,,2,1,3,0,0,0,0,1,1
Antoine Walker,1999,PF,22,BOS,42,41,36.9,7.2,17.5,0.412,1.5,4.2,0.369,5.7,13.3,0.426,0.456,2.7,4.8,0.559,2.5,6,8.5,3.1,1.5,0.7,2.8,3.4,18.7
Samaki Walker,1999,PF,22,DAL,39,2,14.6,2.3,4.9,0.463,0,0,0,2.3,4.8,0.466,0.463,1.4,2.5,0.541,1.2,2.5,3.7,0.2,0.2,0.4,0.9,2.2,5.9
Ben Wallace*,1999,C,24,WAS,46,16,26.8,2.5,4.3,0.578,0,0,,2.5,4.3,0.578,0.578,1,2.9,0.356,3,5.4,8.3,0.4,1.1,2,0.8,2.4,6
John Wallace,1999,SF,24,TOR,48,3,16.9,3.2,7.4,0.432,0,0,,3.2,7.4,0.432,0.432,2.2,3.1,0.7,1.1,2.4,3.6,1,0.3,0.9,1.5,1.9,8.6
Rasheed Wallace,1999,PF,24,POR,49,18,28.9,4.9,9.7,0.508,0.3,0.6,0.419,4.7,9.1,0.515,0.522,2.7,3.7,0.732,1.2,3.8,4.9,1.2,1,1.1,1.6,3.6,12.8
Rex Walters,1999,SG,28,MIA,33,13,15.3,1.1,2.9,0.368,0.4,1.2,0.316,0.7,1.7,0.404,0.432,0.6,0.7,0.826,0.3,1.2,1.5,1.8,0.3,0.1,1,1.9,3.1
Charlie Ward,1999,PG,28,NYK,50,50,31.1,2.7,6.7,0.404,1.1,3,0.356,1.6,3.7,0.443,0.484,1.1,1.6,0.705,0.5,3,3.4,5.4,2.1,0.2,2.6,2.1,7.6
Eric Washington,1999,SG,24,DEN,38,6,20,1.9,4.8,0.397,1,2.6,0.381,0.9,2.3,0.414,0.497,0.6,0.8,0.688,0.9,1.4,2.3,0.8,0.7,0.5,0.9,2.3,5.4
Jamie Watson,1999,SF,26,MIA,3,0,6,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0,0,,0,0.3,0.3,0.3,0,0,0.3,0.3,0.7
